epoch,accuracy,loss,val_accuracy,val_loss
0,0.8586666584014893,0.5797101855278015,0.95652174949646,0.35121816396713257
1,0.9520000219345093,0.23238283395767212,0.95652174949646,0.5013678669929504
2,0.9760000109672546,0.03804361820220947,0.043478261679410934,0.9682995080947876
3,1.0,0.0010890556732192636,0.043478261679410934,1.8510414361953735
4,1.0,9.639691415941343e-05,0.043478261679410934,3.007878303527832
5,1.0,4.842242560698651e-05,0.043478261679410934,3.975522994995117
6,1.0,2.7300189685774967e-05,0.043478261679410934,4.747315406799316
7,1.0,9.839298581937328e-05,0.043478261679410934,5.690273284912109
8,1.0,5.755429356213426e-06,0.043478261679410934,6.467259407043457
9,1.0,5.518387297342997e-06,0.043478261679410934,7.046749114990234
10,1.0,1.2713720025203656e-05,0.043478261679410934,7.501755237579346
11,1.0,6.048366230970714e-06,0.043478261679410934,7.8859453201293945
12,1.0,1.3963357559987344e-05,0.043478261679410934,8.213831901550293
13,1.0,4.253564839018509e-06,0.043478261679410934,8.511817932128906
14,1.0,4.566048573906301e-06,0.043478261679410934,8.79014778137207
15,1.0,5.191107447899412e-06,0.043478261679410934,9.080828666687012
16,1.0,2.6612344754539663e-06,0.043478261679410934,9.332275390625
17,1.0,1.7737548887453158e-06,0.043478261679410934,9.553496360778809
18,1.0,2.930456730609876e-06,0.043478261679410934,9.735260009765625
19,1.0,1.6056171716627432e-06,0.043478261679410934,9.882368087768555
20,1.0,3.2831944736244623e-06,0.043478261679410934,9.984946250915527
21,1.0,2.4914713776524877e-06,0.043478261679410934,10.03112506866455
22,1.0,1.2425278328009881e-05,0.043478261679410934,9.99839973449707
23,1.0,8.80063817021437e-06,0.043478261679410934,9.899955749511719
24,1.0,4.7446378630411346e-06,0.043478261679410934,9.569957733154297
25,1.0,2.3023831090540625e-06,0.043478261679410934,8.845244407653809
26,1.0,5.18014894623775e-06,0.09937888383865356,7.748090744018555
27,1.0,9.218713330483297e-07,0.16149067878723145,6.443576812744141
28,1.0,9.027952501128311e-07,0.27950310707092285,5.179769992828369
29,1.0,1.5490287523789448e-06,0.3726707994937897,3.9994723796844482
30,1.0,1.1071912240367965e-06,0.5155279636383057,2.975719451904297
31,1.0,1.1844258551718667e-06,0.6086956262588501,2.1181905269622803
32,1.0,7.823145438123902e-07,0.7267080545425415,1.486169695854187
33,1.0,1.6452917179776705e-06,0.8012422323226929,1.0843583345413208
34,1.0,9.323547374151531e-07,0.850931704044342,0.8000903129577637
